iter	Passed	Remaining
0	1	144
1	3	153
2	4	149
3	5	135
4	7	138
5	8	136
6	10	133
7	11	131
8	12	129
9	14	127
10	16	134
11	18	135
12	19	132
13	21	129
14	22	126
15	23	122
16	24	119
17	25	117
18	26	114
19	28	112
20	29	110
21	30	107
22	31	105
23	32	103
24	34	102
25	35	100
26	36	99
27	38	97
28	39	95
29	40	94
30	41	92
31	42	91
32	44	89
33	45	88
34	46	86
35	47	85
36	48	83
37	50	81
38	51	80
39	52	79
40	54	77
41	54	75
42	55	73
43	57	72
44	58	71
45	59	69
46	60	68
47	61	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	72	54
57	73	53
58	74	51
59	75	50
60	76	49
61	77	47
62	79	46
63	80	45
64	82	44
65	83	43
66	85	41
67	86	40
68	88	39
69	90	38
70	92	37
71	93	36
72	94	35
73	96	33
74	97	32
75	99	31
76	100	30
77	101	28
78	103	27
79	104	26
80	105	24
81	107	23
82	108	22
83	109	20
84	110	19
85	111	18
86	113	16
87	114	15
88	115	14
89	117	13
90	118	11
91	120	10
92	121	9
93	122	7
94	123	6
95	125	5
96	126	3
97	127	2
98	128	1
99	129	0
